Filename	Top1	Top2	Ishidden
00099f31e40b43948d63ea7488556f5d	4		0
000abdaaf22c4f7aa293f225b5746a7e	2		0
000e54a186984ba0899edf7c21c11e7b	6		0
00166b06d4e64c7c8d8edf44b2c4c1c6	9		0
0016a304c4d9414e9a375d5a4fc2296e	4		0
0021da7be6f14864a5aad3637033454e	10		0
002dd5a699c54a62a1d19ce3a7820801	2		0
0040ef016337483c8480b61d1e476756	10		0
0048ea01ba044b059f6f63f3e3f4d3fe	9		0
004d738156dd4fecaf7944f496a87ddf	0		0
005a56849b5b475bae845fe26d0c40ef	9		0
006313462a8e42e396e4614ebf8f9a7a	0		0
00652e6ca56344bb94aad05671537ecb	4		0
006f760d89ab4b0fa8aa9e5ef3e86e83	4		1
00743d0fe5b3486ca720ef5d629a5f5b	3		0
007bedb6535e407cb968d33a85589e02	4		0
007dcb1473eb4e76925cb2c0232d109d	2		0
008fde3200f04ea8bc8b621677012f07	2		0
0099b0f9f0e24af38c758b69facdd548	4		0
009fc9a34c964e51a4fa652511ce2be6	6		0
00a3c947c06145d89caaec157a0d72d9	6		0
00a9da074ea1475292ae817660696a31	10		0
00ab1c8587a947d19eec60fa5a9e0c92	6		0
00ae25bb99e14afb88e606b9438edb01	2		0
00b44ef5a1aa4def87b0bcf9e009b2ff	2		0
00be15750c2f4cb18641c97aaeddeff2	2		0
00be86a48ddc4ece9c37391485d603eb	2		0
00c7317a913f41f79ad82785a86915a9	3		0
00ccdb8967a14d6ea65dda2aa99d89a7	2		0
00ce0ab8c3084ff39c2dec65aa40c846	0		0
00dfbfb0ca884a138ccea41732c99063	6		0
00e51b29747d4b5ea8fc8cc5a71e2308	0		1
00e68a66a3104b3bb7e23328938ac3e4	0		0
010390385618436f93196d86a10413fc	5		0
01064298cb504cc8876c71df79fef43c	1		0
01076d498b2d4b09885444de5b756ee4	2		0
01088ad439ef400eafe7bbce069aec94	3		0
01095bfd025e44cf9eb3bba4e424ca6d	7		0
0119b8ba44c34597bc3c6652e24aded0	10		0
011a75132fda4a4aa7a86fdd0f95b5e5	4		0
011bde3f54c041a2a78a74f76e47f982	2		0
012a75cb030546ef8ebdf445034dbc92	10		0
013643002af44f08a00f5369d9d525f1	11		0
013e1861754045918a14ed5106581788	9		0
01413ec8a23341518fd1b156d5338847	3		0
01443e5922eb46818dc00e1eb0fef494	4		0
01446fbcaf0940449887664d64f50fa1	6		0
0144b95baea948cfa1f4390f561265ef	3		0
014b6caf48784254997d0514cbc0088c	9		0
014bc2b9f6ab43d19452b2c2bc7ecca8	10		0
014bea59314847848d8f6babf91556a3	4		0
014f37befc1c4f51a0c6f52fd1bc73f1	2		0
015af639b14840fb95a1216a96cddba0	10		0
015f9ee4b4514fc1bc8305aeff95ddcb	3		0
01634c581ef24ffeb11ead3cd1fdd11b	7		0
0164818ce7d6464cbe34c2997a18d017	10		0
01671906a37241c9a38a50b1f5ed2648	10		0
0169cf10a4c24d5fbe2ace1e95fd76c0	4		0
016fecb147254ae7b53c53938ab4b00e	3		0
017bb48e77994f1cb89ab009fc913410	9		0
018c993269ec4ca99c3a9af6c23f0eec	3		0
018ce3ccc201449992fe5543669092c7	3		0
018f2dba89f04e1eba92f37d27a8090c	2		0
01903e4ee05c455c84424697353976aa	6		0
019daf6e99e4481088b5e66eed3f4e16	4		0
019ef91485384c88947eba69e1c6dcae	3		0
01a54ec3ebf44277bb66466f00deef51	10		0
01bb65c971fb42c28940bea2f3c823f8	6		0
01bf400865a94ce2bff3693aaff11889	10		0
01ca866def334d148b33e19729fee0ff	0		0
01d018240cef4f90b1b97e23acea43a2	2		1
01d57854eb6248678bd151111da59a6a	9		0
01d7fe5de300483db5f178da821c43fa	2		0
01d9b9ac3f0d434bb990092dee39da68	6		0
01dd243cdd35453d88b925786690bafb	2		0
01de65821f5b4c1e9b973f7b5b4d639a	9		0
01df1d3b18b1410181a260fd44de299d	7		0
01e687cd2833402682b7476a758e0a00	6		0
01f31a2ea5f94ef5a091a1635efdc7fc	7		0
02067700897948f59f21acaa7b02a8bc	2		0
0208e2e6716741ef927bc735ae077fa7	9		0
